Set number;Name;Set type;Theme group;Theme;Subtheme;Year released;Tags;Dimensions;Weight;Pieces;Minifigs;RRP;Age range;Packaging;Availability
3061;City Park Cafe;Normal;Girls;Friends;;2012;Andrea, Marie, Restaurant;38.2 x 26.2 x 5.6 cm ;0.57Kg (1.26 lb);222;2;£29.99 / $34.99 / 29.99€;6 - 12;Box;Retail
3063;Heartlake Flying Club;Normal;Girls;Friends;;2012;Stephanie, Aircraft, Airplane, Propeller Aircraft, Seaplane;;;195;1;£19.99 / $19.99 / 19.99€;6 - 12;Box;Retail
3065;Olivia's Tree House;Normal;Girls;Friends;;2012;Olivia;35.4 x 19.1 x 5.9 cm ;0.38Kg (0.84 lb);191;1;£19.99 / $19.99 / 19.99€;6 - 12;Box;Retail
3183;Stephanie's Cool Convertible;Normal;Girls;Friends;;2012;Stephanie, Car, Convertible, Dog, Lamppost, Puppy;26.2 x 14.1 x 4.8 cm ;0.21Kg (0.46 lb);130;1;£14.99 / $14.99 / 14.99€;6 - 12;Box;Retail
3184;Adventure Camper;Normal;Girls;Friends;;2012;Nicole, Olivia, Bbq, Bicycle, Camper Van, Camping, Trailer;38.2 x 26.2 x 5.6 cm ;0.47Kg (1.04 lb);309;2;£29.99 / $34.99 / 29.99€;6 - 12;Box;Retail
3185;Summer Riding Camp;Normal;Girls;Friends;;2012;Ella, Emma, Stephanie, Theresa, Horse, Stable, Trailer, Van;;;1112;4;£89.99 / $99.99 / 99.99€;7 - 12;Box;Retail
3186;Emma's Horse Trailer;Normal;Girls;Friends;;2012;Emma, Convertible, Horse, Trailer;;;218;1;£19.99 / $24.99 / 24.99€;6 - 12;Box;Retail
3187;Butterfly Beauty Shop;Normal;Girls;Friends;;2012;Emma, Sarah, Shop;28.2 x 26.2 x 6.4 cm ;0.47Kg (1.04 lb);221;2;£24.99 / $24.99 / 24.99€;6 - 12;Box;Retail
3188;Heartlake Vet;Normal;Girls;Friends;;2012;Mia, Sophie, Dog, Horse;48 x 28.2 x 6.1 cm ;0.82Kg (1.81 lb);343;2;£39.99 / $44.99 / 39.99€;6 - 12;Box;Retail
3189;Heartlake Stables;Normal;Girls;Friends;;2012;Katharina, Mia, Cat, Horse, Stable;54 x 28.2 x 5.9 cm ;0.95Kg (2.09 lb);401;2;£49.99 / $49.99 / 54.99€;6 - 12;Box;Retail
3315;Olivia's House;Normal;Girls;Friends;;2012;Anna, Olivia, Peter, Bbq, Cat, Furniture, House, Lawnmower, Tv;48 x 37.8 x 7 cm ;1.38Kg (3.04 lb);695;3;£69.99 / $74.99 / 69.99€;6 - 12;Box;Retail
3316;Friends Advent Calendar;Normal;Girls;Friends;Seasonal;2012;Christina, Olivia, Advent Calendar, Christmas, Christmas Tree, Dog, Lamppost, Sled, Snowman;38.2 x 26.2 x 7.1 cm ;0.35Kg (0.77 lb);193;2;£19.99 / $34.99 / 19.99€;5 - 12;Box;Retail - limited
3817;The Flying Dutchman;Normal;Licensed;SpongeBob SquarePants;;2012;Flying Dutchman, Patrick Star, Spongebob Squarepants, Cartoon, Galleon, Ghost, Ghost Ship, Island, Nickelodeon, Pirates, Ship;35.4 x 19.1 x 5.9 cm ;0.39Kg (0.86 lb);241;3;£24.99 / $24.99 / 29.99€;6 - 12;Box;Retail
3818;Bikini Bottom Undersea Party;Normal;Licensed;SpongeBob SquarePants;;2012;Mrs Puff, Patrick Star, Spongebob Squarepants, Squidward Tentacles, Balloons, Cartoon, Conch Street, Gary, House, Nickelodeon;48 x 28.2 x 6.1 cm ;0.77Kg (1.7 lb);471;4;£49.99 / $49.99 / 59.99€;6 - 12;Box;Retail
3930;Stephanie's Outdoor Bakery;Normal;Girls;Friends;;2012;Stephanie;12.2 x 9.1 x 4.7 cm ;0.06Kg (0.13 lb);45;1;£4.99 / $6.99 / 5.99€;5 - 12;Box;Retail
3931;Emma's Splash Pool;Normal;Girls;Friends;;2012;Emma, Swimming Pool;12.2 x 9.1 x 4.7 cm ;0.06Kg (0.13 lb);43;1;£4.99 / $5.99 / 5.99€;5 - 12;Box;Retail
3932;Andrea's Stage;Normal;Girls;Friends;;2012;Andrea, Musical, Piano;19.1 x 14.1 x 4.6 cm ;0.13Kg (0.29 lb);87;1;£9.99 / $9.99 / 9.99€;5 - 12;Box;Retail
3933;Olivia's Invention Workshop;Normal;Girls;Friends;;2012;Olivia, Blackboard, Microscope, Robot, Science, Tools;19.1 x 14.1 x 4.6 cm ;0.12Kg (0.26 lb);81;1;£9.99 / $9.99 / 9.99€;5 - 12;Box;Retail
3934;Mia's Puppy House;Normal;Girls;Friends;;2012;Mia;19.1 x 14.1 x 4.6 cm ;0.12Kg (0.26 lb);64;1;£9.99 / $9.99 / 9.99€;5 - 12;Box;Retail
3935;Stephanie's Pet Patrol;Normal;Girls;Friends;;2012;Stephanie;19.1 x 14.1 x 4.6 cm ;0.12Kg (0.26 lb);73;1;£9.99 / $9.99 / 9.99€;5 - 12;Box;Retail
3936;Emma's Fashion Design Studio;Normal;Girls;Friends;;2012;Emma, Camera;19.1 x 14.1 x 4.6 cm ;0.12Kg (0.26 lb);79;1;£9.99 / $9.99 / 9.99€;5 - 12;Box;Retail
3937;Olivia's Speedboat;Normal;Girls;Friends;;2012;Olivia, Speedboat;19.1 x 14.1 x 4.6 cm ;0.13Kg (0.29 lb);65;1;£9.99 / $9.99 / 9.99€;5 - 12;Box;Retail
