Set number;Name;Year;Month;Total Lots;Total Qty;Min Price;Avg Price;Qty Avg Price;Max Price
3061;City Park Cafe;2017;November;1;1;40.80;40.80;40.80;40.80
3061;City Park Cafe;2017;October;1;1;45.18;45.18;45.18;45.18
3061;City Park Cafe;2017;September;1;1;41.74;41.74;41.74;41.74
3061;City Park Cafe;2017;August;2;3;36.00;36.50;36.67;37.00
3061;City Park Cafe;2017;June;1;1;45.00;45.00;45.00;45.00
3063;Heartlake Flying Club;2017;November;1;1;14.99;14.99;14.99;14.99
3063;Heartlake Flying Club;2017;August;2;2;22.50;25.23;25.23;27.96
3065;Olivia's Tree House;2017;November;2;2;34.99;37.23;37.23;39.47
3065;Olivia's Tree House;2017;August;1;1;24.48;24.48;24.48;24.48
3065;Olivia's Tree House;2017;June;2;4;29.99;32.50;33.75;35.00
3065;Olivia's Tree House;2017;May;1;1;35.00;35.00;35.00;35.00
3183;Stephanie's Cool Convertible;2017;November;2;5;24.95;24.95;24.95;24.95
3183;Stephanie's Cool Convertible;2017;October;2;3;25.81;26.90;26.54;28.00
3183;Stephanie's Cool Convertible;2017;July;3;33;16.90;21.30;17.45;25.00
3183;Stephanie's Cool Convertible;2017;June;4;5;21.00;23.68;24.08;25.69
3184;Adventure Camper;2017;November;2;2;45.00;45.83;45.83;46.66
3184;Adventure Camper;2017;October;2;2;50.00;55.50;55.50;61.01
3184;Adventure Camper;2017;July;3;4;45.60;48.53;48.90;50.00
3184;Adventure Camper;2017;June;2;2;38.00;40.60;40.60;43.21
3184;Adventure Camper;2017;May;4;4;44.44;48.59;48.59;54.50
3185;Summer Riding Camp;2017;November;5;7;149.90;174.06;169.07;200.00
3185;Summer Riding Camp;2017;October;1;1;149.90;149.90;149.90;149.90
3185;Summer Riding Camp;2017;September;3;3;128.56;152.24;152.24;184.00
3185;Summer Riding Camp;2017;July;3;6;125.79;152.93;150.96;183.99
3186;Emma's Horse Trailer;2017;September;1;1;53.67;53.67;53.67;53.67
3186;Emma's Horse Trailer;2017;August;2;2;45.00;48.75;48.75;52.50
3186;Emma's Horse Trailer;2017;June;1;1;56.69;56.69;56.69;56.69
3187;Butterfly Beauty Shop;2017;September;1;1;63.99;63.99;63.99;63.99
3187;Butterfly Beauty Shop;2017;August;1;1;49.73;49.73;49.73;49.73
3187;Butterfly Beauty Shop;2017;June;1;1;50.00;50.00;50.00;50.00
3188;Heartlake Vet;2017;November;1;2;99.15;99.15;99.15;99.15
3188;Heartlake Vet;2017;October;2;2;105.00;110.57;110.57;116.14
3188;Heartlake Vet;2017;August;1;1;84.20;84.20;84.20;84.20
3188;Heartlake Vet;2017;June;1;1;106.39;106.39;106.39;106.39
